grid_value,pred_mean
5.94,1066.6942120456097
6.040394736842106,1057.5893671194776
6.140789473684211,1050.7452210613085
6.241184210526316,1043.26489604057
6.341578947368421,1037.355372746918
6.441973684210526,1029.7711465606392
6.542368421052632,1023.2501516116857
6.642763157894737,1016.620286156628
6.743157894736842,1010.7276477649872
6.843552631578947,1006.2376813961397
6.943947368421053,997.1046962650286
7.0443421052631585,988.7527902139439
7.144736842105264,981.2208166403503
7.245131578947369,987.7179736990289
7.345526315789474,985.8700455787025
7.445921052631579,982.1398538741556
7.5463157894736845,977.7827247589088
7.64671052631579,972.9898836454192
7.747105263157895,968.0276751493184
7.8475,962.8749149611375
