grid_value,pred_mean
0.0,1001.8728449102026
0.15789473684210525,1003.2848341685036
0.3157894736842105,1004.166783466172
0.47368421052631576,1006.6559087600842
0.631578947368421,1008.1664672385292
0.7894736842105263,1020.3576188739203
0.9473684210526315,1063.042411261639
1.1052631578947367,1103.5186107925344
1.263157894736842,1145.4680831427972
1.4210526315789473,1183.6779489044684
1.5789473684210527,1188.5841119163213
1.7368421052631577,1149.864425899302
1.894736842105263,1113.4386167001505
2.052631578947368,1073.4108611323763
2.2105263157894735,1038.3874998773374
2.3684210526315788,1001.2429982185628
2.526315789473684,967.2595177454417
2.6842105263157894,927.5170092919606
2.8421052631578947,891.5005031775821
3.0,848.3940670038685
