grid_value,pred_mean
0.0,1054.4637510260432
0.6842105263157895,1040.77057521335
1.368421052631579,1028.2372533511125
2.0526315789473686,1010.0262816889544
2.736842105263158,996.8603535071297
3.4210526315789473,990.8808123530805
4.105263157894737,991.6811677376007
4.7894736842105265,993.0558048166217
5.473684210526316,993.4084389862016
6.157894736842105,995.8797578585607
6.842105263157895,997.3494096376947
7.526315789473684,999.1794419818668
8.210526315789474,1001.0348569659251
8.894736842105264,1006.422033828432
9.578947368421053,1012.2211238886351
10.263157894736842,1016.4703495531508
10.947368421052632,1020.5431347923704
11.631578947368421,1023.7866649936972
12.31578947368421,1027.6891474927043
13.0,1028.5035695768615
