grid_value,pred_mean
18.11,1071.392913739695
18.60421052631579,1058.8799337335092
19.09842105263158,1049.8845191716687
19.59263157894737,1036.876468561346
20.08684210526316,1021.3404097915516
20.58105263157895,1009.8198679998474
21.075263157894735,1000.2007222370933
21.569473684210525,996.3093392802011
22.063684210526315,992.3205948818041
22.557894736842105,989.6585681362614
23.052105263157895,986.9271617490714
23.546315789473685,984.6808065831916
24.040526315789474,983.4715525519574
24.53473684210526,986.1321578067359
25.02894736842105,989.200351730248
25.52315789473684,992.2074231685822
26.01736842105263,993.8982940085968
26.51157894736842,996.6617718632565
27.00578947368421,1000.7448112635789
27.5,1004.0387749917971
