grid_value,pred_mean
0.0,1032.500021352498
0.024880382775119617,1027.238865315638
0.049760765550239235,1019.1027526032585
0.07464114832535886,1012.7218139346506
0.09952153110047847,1006.1797906797422
0.12440191387559808,1004.2429996602834
0.1492822966507177,998.1480080703069
0.17416267942583732,999.7694746451949
0.19904306220095694,1000.5526284443936
0.22392344497607655,1000.5263295939278
0.24880382775119617,1000.4524605953485
0.2736842105263158,1000.7751766841028
0.2985645933014354,1001.7469052290661
0.32344497607655504,1003.874386591628
0.34832535885167465,1006.6049348637648
0.37320574162679426,1008.2784853401236
0.3980861244019139,1009.1471148385056
0.4229665071770335,1011.3788112481606
0.4478468899521531,1013.9189405523585
0.4727272727272727,1016.7944453371462
