grid_value,pred_mean
39.32,1014.6835520126102
39.46736842105263,1014.5180763533733
39.614736842105266,1014.4752921584362
39.76210526315789,1014.1389012544463
39.909473684210525,1014.87706665756
40.05684210526316,1013.9640455647391
40.20421052631579,1014.4039691112033
40.351578947368424,1014.2414071264849
40.49894736842105,1013.9621348277623
40.64631578947368,1013.8996074410798
40.793684210526315,1013.9577295779634
40.94105263157895,1013.374894572282
41.088421052631574,1013.1235350835873
41.23578947368421,1013.4471013547197
41.38315789473684,1013.5145138357894
41.53052631578947,1011.4901628564998
41.677894736842106,1011.0934349010194
41.82526315789473,1008.6693819393594
41.972631578947365,1007.2229193001739
42.12,1005.4389079090448
